"title","age","genres","imdb","rotten_tomatoes","year","keywords"
"Lost in Space","7 (TV-PG)","Science-Fiction, Action & Adventure, Drama, Family, Mystery, Fantasy","7.3",75,"2018","Dystopia, Robot, Space, Science, Survival"
"Person of Interest","14 (TV-14)","Action & Adventure, Drama, Mystery, Thriller, Crime, Science-Fiction, Fantasy","8.4",NA,"2011","Dystopia, Police, War, Technology, Spy, Political"
"Monty Python's Flying Circus","14 (TV-14)","","8.8",100,"1969",""
"Unbreakable Kimmy Schmidt","14 (TV-14)","","7.6",96,"2015",""
"Jane the Virgin","7 (TV-PG)","Drama, Family, Romance, Comedy","7.8",100,"2014",""
"Hunter x Hunter","14 (TV-14)","Action & Adventure, Anime, Animation, Comedy, Fantasy, Drama","8.9",NA,"2011","Free Services, Netflix, Hulu, Adult Swim, Coming of Age, Friendship, Revenge, Martial Arts, Technology, Supernatural, Fighting, Adaptation"
"Godless","14 (TV-14)","Drama, Documentary, Crime","8.3",85,"2017",""
"Mushi-Shi","14 (TV-14)","Animation, Anime, Drama, Fantasy, Horror, Mystery, Thriller, Action & Adventure, History","8.5",100,"2005","Free Services, Netflix, Prime Video, Hulu, Funimation, Supernatural, Ghost, Psychology, Religion, Adaptation"
"GLOW"," 18 (TV-MA)","Comedy, Drama, Sport","8",92,"2017","Wrestling, Sports, Feel-good, Based On True Story"
"Alias Grace","18 (TV-MA)","Biography, Crime, Drama","7.8",99,"2017","Based on Books, Suspense, Adaptation, Based On True Story"
"13 Reasons Why","18 (TV-MA)","Drama, Mystery, Thriller","7.7",39,"13","High School, Based on Books, Music, Adaptation, Teen"
"Manhunt","14 (TV-14)","Crime, Drama, Mystery, Thriller","8.1",93,"2017",""
"Gossip Girl","14 (TV-14)","Drama, Romance, Comedy","7.4",84,"2007","Based on Books, New York, Dating, Adaptation, Teen"
"Star Trek: Deep Space Nine"," 7 (TV-PG)","Action & Adventure, Drama, Science-Fiction, Fantasy","7.9",90,"1993","Netflix, Prime Video, Hulu, CBS All Access, BBC America, fuboTV, Alien, Space, Time Travel, Science, Political"
"The Dragon Prince","7 (TV-PG)","Action & Adventure, Animation, Fantasy, Family, Science-Fiction","8.4",100,"2018","Magic, Supernatural, Animal, Royalty"
"Dirty Money"," 14 (TV-14)","","8.1",100,"2018",""
"Locke & Key","14 (TV-14)","Drama, Fantasy, Horror, Thriller, Mystery, Science-Fiction","7.4",66,"2019",""
"Maniac"," 14 (TV-14)","Comedy, Drama, Science-Fiction, Fantasy","7.8",85,NA,""
"Locked Up","14 (TV-14)","Drama, Thriller, Mystery, Comedy, Crime","8.3",100,"2015",""
"Colony","14 (TV-14)","Drama, Action & Adventure, Fantasy, Science-Fiction, Thriller","7.4",92,"2016","Dystopia, War, Apocalypse, Space, Political"
"Rectify","14 (TV-14)","","8.3",95,"2013",""
"Charmed"," 14 (TV-14)","Drama, Science-Fiction, Fantasy, Mystery, Thriller, Comedy","7.1",75,"1998","War, Time Travel, Vampire, Magic, Supernatural"
"American Vandal","14 (TV-14)","Comedy, Mystery, Crime, Drama","8.2",97,"2017",""
"Marvel's Luke Cage"," 18 (TV-MA)","Drama, Action & Adventure, Crime, Science-Fiction, Thriller, Mystery, Fantasy","7.3",87,"2016","Supernatural, Superhero, Comic Book, Disney, Adaptation"
"Santa Clarita Diet","18 (TV-MA)","","7.8",89,"2017",""
"The Dark Crystal: Age of Resistance","7 (TV-PG)","Drama, Action & Adventure, Family, Fantasy, Horror, Mystery, Science-Fiction","8.5",87,NA,"America, United Kingdom"
"Wild Wild Country","14 (TV-14)","Documentary, Cult, Crime","8.2",98,"2018",""
"Derry Girls","14 (TV-14)","","8.4",97,"2018",""
"Pose","14 (TV-14)","","8.6",96,"2018",""
"One Day at a Time"," 7 (TV-PG)","","8.2",99,"2017",""
"Dark Matter","18 (TV-MA)","Drama, Science-Fiction, Thriller, Action & Adventure, Mystery","7.5",89,"2015","Robot, Space, Time Travel, Technology, Comic Book, Adaptation"
"Law & Order: Special Victims Unit"," 14 (TV-14)","Drama, Action & Adventure, Thriller, Crime, Mystery","8",NA,"1999","Free Services, Netflix, Prime Video, Hulu, NBC, USA, fuboTV"
"Reign","14 (TV-14)","Drama, Fantasy, History","7.5",86,"2013","Medieval, Royalty, Adaptation, Teen, Based On True Story, Political"
"The Tudors","18 (TV-MA)","Action & Adventure, Drama, Romance, History","8.1",69,"2007","Princess, Medieval, Religion, Royalty, Political"
"The Stranger"," 14 (TV-14)","Crime, Drama, Mystery, Thriller","7.3",89,"2020",""
"Supergirl","7 (TV-PG)","Drama, Fantasy, Action & Adventure, Science-Fiction","6.3",88,"2015","Supernatural, Superhero, Comic Book, Adaptation"
"Call the Midwife"," 7 (TV-PG)","Drama, History, Family","8.4",89,"2012",""
"On My Block","14 (TV-14)","","8.1",97,"2018",""
"Longmire","14 (TV-14)","Drama, Action & Adventure, Crime","8.3",88,"2012",""
"Extras","14 (TV-14)","","8.3",89,"2005",""
"The 4400","7 (TV-PG)","Drama, Science-Fiction, Mystery, Thriller, Fantasy","7.3",95,"4400","Dystopia, Space, Time Travel, Supernatural"
"HAPPY!","18 (TV-MA)","Fantasy, Action & Adventure, Comedy, Crime, Mystery, Thriller, Science-Fiction, Drama","8.2",84,"2017","Friendship, Comic Book, Imagination, Adaptation"
"Doctor Foster","14 (TV-14)","","7.7",85,"2015",""
"Designated Survivor","7 (TV-PG)","Drama, Action & Adventure, Mystery","7.5",71,"2016","Dystopia, Apocalypse, Spy, Disney, Political"
"The Inbetweeners","18 (TV-MA)","","8.4",54,"2008","High School, Friendship, Mature, Teen"
"Love","18 (TV-MA)","Comedy, Romance, Drama","7.7",94,"2016",""
"The Spy","18 (TV-MA)","Drama, Thriller, History","7.9",86,"2019","Based on Books, Spy, Adaptation, Political"
"The Kominsky Method"," 18 (TV-MA)","","8.2",90,"2018",""
"Mystery Science Theater 3000","7 (TV-PG)","Comedy, Science-Fiction, Fantasy","8.5",80,"3000","Free Services, Netflix, Hulu, IFC, fuboTV"
"Marco Polo"," 18 (TV-MA)","Action & Adventure, Drama, History, Thriller","8",67,"2014",""
"'Allo 'Allo!","7 (TV-PG)","","8.3",NA,"1984","Dark Comedy, Military, Escape, Prison, War, Suspense, World War II, Parody"
"Marvel's The Defenders","18 (TV-MA)","Action & Adventure, Crime, Fantasy, Science-Fiction","7.3",78,"2017","Supernatural, Superhero, Comic Book, Disney, Adaptation"
"Ripper Street","18 (TV-MA)","Drama, Crime, Mystery, Thriller","8.1",100,"2012",""
"The Fosters","14 (TV-14)","Drama, Family, Romance","7.9",97,"2013",""
"Queer Eye","14 (TV-14)","Comedy, LGBTQ, Reality","8.5",91,"2018",""
"Bleach"," 18 (TV-MA)","Action & Adventure, Anime, Animation, Fantasy, Comedy, Drama, Horror, Science-Fiction, Thriller","8.1",NA,"2004",""
"The Borgias","18 (TV-MA)","Crime, Drama, History, Action & Adventure","7.9",85,"2011","Hungary, Canada, America"
"Hawaii Five-0"," 14 (TV-14)","Action & Adventure, Crime, Drama","7.3",82,"0",""
"The Shannara Chronicles","14 (TV-14)","Action & Adventure, Fantasy, Science-Fiction, Drama","7.2",77,"2016","Based on Books, Time Travel, Magic, Supernatural, Futuristic, Adaptation, Teen"
"Middleditch & Schwartz","18 (TV-MA)","","8.7",100,"2020",""
"Star Trek: Voyager"," 7 (TV-PG)","Action & Adventure, Drama, Science-Fiction, Fantasy","7.8",77,"1995","Netflix, Prime Video, Hulu, CBS All Access"
"Hell on Wheels","14 (TV-14)","","8.3",72,"2011",""
"Limitless","14 (TV-14)","Drama, Science-Fiction, Thriller, Comedy, Crime, Action & Adventure","7.7",57,"2015",""
"Jonathan Strange & Mr Norrell"," 14 (TV-14)","Drama, Fantasy, History, Science-Fiction","8.1",91,"2015",""
"Top Boy"," 18 (TV-MA)","Drama, Crime, Thriller, Mystery","8.4",95,"2011",""
"Queen of the South","14 (TV-14)","Drama, Action & Adventure, Crime","7.9",66,"2016",""
"Delhi Crime",NA,"","8.5",91,"2019",""
"Haven"," 14 (TV-14)","Crime, Drama, Fantasy, Science-Fiction, Horror, Mystery, Thriller","7.5",63,"2010","Based on Books, Police, Time Travel, Supernatural, Ghost, Adaptation, Canada, America"
"Messiah","18 (TV-MA)","Drama, Thriller, Mystery","7.7",44,"2020",""
"Feel Good",NA,"Comedy, LGBTQ, Drama, Romance","7.5",100,"2020",""
"Haikyu!!","14 (TV-14)","Animation, Anime, Sport, Comedy, Drama","8.7",NA,"2014",""
"Wynonna Earp"," 14 (TV-14)","Drama, LGBTQ, Action & Adventure, Crime, Fantasy, Science-Fiction","7.4",93,"2016","America, Canada"
"Crash Landing on You","14 (TV-14)","Drama, Comedy, Romance, Action & Adventure","8.8",NA,NA,""
"Hart of Dixie","7 (TV-PG)","Comedy, Drama, Romance","7.7",81,"2011",""
"Bloodline","18 (TV-MA)","Drama, Thriller, Crime","8",62,"2015",""
"The Magicians","14 (TV-14)","Drama, Action & Adventure, Fantasy, Horror","7.6",NA,"2015","Based on Books, New York, Time Travel, College, Magic, Supernatural, Adaptation"
"Don't F**k with Cats: Hunting an Internet Killer","18 (TV-MA)","Crime, Documentary, Mystery","8.1",67,"2019",""
"Lost Girl","14 (TV-14)","Crime, Drama, Fantasy, Horror, Science-Fiction","7.7",65,"2010",""
"That '70s Show","14 (TV-14)","Comedy, Romance, Family","8.1",NA,"70","Netflix, IFC, Comedy Central, fuboTV"
"Travelers","14 (TV-14)","Drama, Mystery, Science-Fiction, Thriller, Fantasy, Action & Adventure","8.1",NA,"2016",""
"TURN: Washington's Spies","14 (TV-14)","Action & Adventure, Drama, History","8.1",81,"2014",""
"Space Force","18 (TV-MA)","","6.9",37,"2020",""
"Chef's Table","All (TV-G)","","8.6",100,"2015",""
"Soul Eater","14 (TV-14)","Action & Adventure, Anime, Animation, Comedy, Fantasy, Horror, Science-Fiction","7.8",100,"2008",""
"Merlin","7 (TV-PG)","Action & Adventure, Fantasy, Drama, Science-Fiction, Animation, Family","7.9",NA,"2008","Free Services, Netflix, Prime Video, Hulu, Magic, Supernatural, Medieval, Animal"
"Crazy Ex-Girlfriend"," 14 (TV-14)","","7.8",98,"2015",""
"Living with Yourself","18 (TV-MA)","","7.2",84,"2019",""
"Galavant","7 (TV-PG)","Comedy, Fantasy, Action & Adventure, Musical","8.1",89,"2015","Music, Parody, Singing, Royalty, Disney"
"The Originals","14 (TV-14)","Drama, Fantasy, Science-Fiction, Mystery, Thriller, Horror","8.2",27,"2013",""
"Ezel"," All (TV-G)","Crime, Drama, Thriller, Action & Adventure","8.6",NA,"2009",""
"The Keepers","14 (TV-14)","Documentary, Crime, Drama, Mystery, Thriller","8.1",96,"2017",""
"Malcolm in the Middle","7 (TV-PG)","","8",NA,"2000",""
"Episodes","18 (TV-MA)","","7.8",80,"2011",""
"Marvel's Iron Fist","18 (TV-MA)","Action & Adventure, Crime, Fantasy, Science-Fiction, Drama","6.5",37,"2017","Martial Arts, Supernatural, Superhero, Comic Book, Disney, Adaptation"
"Case Closed"," 14 (TV-14)","Action & Adventure, Anime, Animation, Crime, Mystery, Comedy, Drama, Romance, Thriller","8.4",NA,"1996","Free Services, Netflix, Hulu, Crunchyroll"
"Absolutely Fabulous","14 (TV-14)","","8.1",96,"1992",""
"F is for Family","18 (TV-MA)","Animation, Comedy, Drama","8",86,"2015",""
"Hilda","7 (TV-PG)","Action & Adventure, Animation, Children, Family, Comedy, Fantasy","8.6",100,NA,"Magic, Supernatural, Psychology, Animal"
"Babylon Berlin"," 18 (TV-MA)","Crime, Drama, History, Thriller","8.4",NA,"2017",""
"Dead Set","18 (TV-MA)","Horror, Drama, Comedy","7.7",90,"2008","Dark Comedy, Dystopia, Apocalypse, Zombie, Survival, Political"
"Disenchantment"," 14 (TV-14)","Animation, Comedy, Fantasy, Action & Adventure, Science-Fiction","7.2",68,"2018",""
"Nurse Jackie"," 18 (TV-MA)","","7.7",81,"2009",""
"Fairy Tail"," 14 (TV-14)","Animation, Anime, Fantasy, Action & Adventure, Comedy, Science-Fiction","8",NA,"2009","Free Services, Netflix, Hulu, Funimation, Time Travel, Magic, Adaptation, Mature"
"Chewing Gum","14 (TV-14)","","7.7",100,"2015",""
